% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9 +4.543769452e-01 +4.543769452e-01 -1.008656231e+02 -1.008656231e+02 +1.3571e+00 +2.1730e+00
59 +7.172569282e-02 +7.172569282e-02 -1.012482743e+02 -1.012482743e+02 +1.8788e+00 +2.9517e+00
105 +3.318357859e-02 +3.318357859e-02 -1.012868164e+02 -1.012868164e+02 +1.8489e+00 +2.8554e+00
182 +4.859989845e-03 +4.859989845e-03 -1.013151400e+02 -1.013151400e+02 +1.7656e+00 +2.7439e+00
275 +3.774541591e-03 +3.774541591e-03 -1.013162255e+02 -1.013162255e+02 +1.7538e+00 +2.7323e+00
282 +1.860696597e-03 +1.860696597e-03 -1.013181393e+02 -1.013181393e+02 +1.6540e+00 +2.7502e+00
358 +4.465382721e-04 +4.465382721e-04 -1.013195535e+02 -1.013195535e+02 +1.6957e+00 +2.7341e+00
395 +9.801469889e-05 +9.801469889e-05 -1.013199020e+02 -1.013199020e+02 +1.7037e+00 +2.7623e+00
460 +3.175996909e-06 +3.175996909e-06 -1.013199968e+02 -1.013199968e+02 +1.6971e+00 +2.7534e+00
546 +1.871369761e-07 +1.871369761e-07 -1.013199998e+02 -1.013199998e+02 +1.6971e+00 +2.7555e+00
759 +1.242885475e-07 +1.242885475e-07 -1.013199999e+02 -1.013199999e+02 +1.6965e+00 +2.7550e+00
801 +3.371702917e-08 +3.371702917e-08 -1.013200000e+02 -1.013200000e+02 +1.6968e+00 +2.7554e+00
879 +2.242467190e-08 +2.242467190e-08 -1.013200000e+02 -1.013200000e+02 +1.6969e+00 +2.7551e+00
911 +1.564251306e-08 +1.564251306e-08 -1.013200000e+02 -1.013200000e+02 +1.6967e+00 +2.7552e+00
951 +5.735543596e-09 +5.735543596e-09 -1.013200000e+02 -1.013200000e+02 +1.6968e+00 +2.7553e+00
% function evaluation | noise-free fitness - Fopt (3.650000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.296568492e+00 +9.296568492e+00 +1.294656849e+01 +1.294656849e+01 +3.4019e+00 -1.0562e+00
17 +4.036838616e-01 +4.036838616e-01 +4.053683862e+00 +4.053683862e+00 +1.1264e+00 -2.0397e+00
105 +3.886793725e-01 +3.886793725e-01 +4.038679372e+00 +4.038679372e+00 +1.0965e+00 -2.1360e+00
140 +2.024582384e-01 +2.024582384e-01 +3.852458238e+00 +3.852458238e+00 +4.4852e-02 -1.9553e+00
193 +8.821114686e-02 +8.821114686e-02 +3.738211147e+00 +3.738211147e+00 +6.2271e-01 -1.7065e+00
223 +1.083846515e-02 +1.083846515e-02 +3.660838465e+00 +3.660838465e+00 +5.7943e-01 -1.9143e+00
238 +6.984469083e-03 +6.984469083e-03 +3.656984469e+00 +3.656984469e+00 +4.2840e-01 -2.0257e+00
